num_bs_caisse,nbeo
"1593","7559"
"1594","7560"
"1595","7561"
"1596","7562"
"1597","7563"
"1598","7564"
"1599","7565"
"1600","7566"
"1601","7567"
"1602","7568"
"1603","7569"
"1604","7570"
"1605","7571"
"1606","7572"
"1607","7573"
"1608","7574"
"1609","7475"
"1610","7576"
"1611","7577"
"1612","7578"
"1613","7579"
"1614","7580"
"1615","7581"
"1616","7583"
"1617","7582"
"1618","7601"
"1619","7602"
"1620","7603"
"1621","7604"
"1622","7584"
"1623","7605"
"1624","7606"
"1625","7607"
"1626","7608"
"1627","7609"
"1628","7610"
"1469","7441"
"1470","7442"
"1471","7443"
"1472","7444"
"1473","7445"
"1474","7446"
"1475","7447"
"1476","7448"
"1477","7449"
"1478","7450"
"1479","7451"
"1480","7449"
"1481","7450"
"1482","7451"
"1483","7452"
"1484","7453"
"1485","7454"
"1486","7455"
"1487","7456"
"1488","7457"
"1489","7458"
"1490","7459"
"1491","7460"
"1629","7611"
"1630","7612"
"1631","7613"
"1632","7614"
"1633","7615"
"1634","7616"
"1635","7617"
"1636","7618"
"1637","7619"
"1638","7542"
"1639","7515"
"1640","7519"
"1641","7620"
"1642","7621"
"1643","7625"
"1644","7627"
"1645","7622"
"1646","7623"
"1647","7624"
"1648","7627"
"1649","7628"
"1650","7626"
"1651","7629"
"1652","7630"
"1653","7631"
"1654","7632"
"1655","7633"
"1656","7634"
"1657","7634"
"1658","7636"
"1659","7637"
"1660","7638"
"1661","7639"
"1662","7640"
"1663","7641"
"1664","7642"
"1665","7643"
"1666","7644"
"1667","7645"
"1668","7646"
"1669","7647"
"1670","7648"
"1671","7649"
"1672","7650"
"1673","7651"
"1674","7655"
"1675","7656"
"1676","7657"
"1677","7658"
"1678","7659"
"1679","7660"
"1680","7661"
"1681","7662"
"1682","7663"
"1683","7664"
"1684","7665"
"1685","7666"
"1686","7667"
"1687","7668"
"1688","7669"
"1689","7670"
"1690","7671"
"1691","7672"
"1692","7673"
"1693","7652"
"1694","7653"
"1695","7654"
"1696","7674"
"1697","7675"
"1698","7676"
"1699","7677"
"1700","7679"
"1701","7680"
"1702","7681"
"1703","7682"
"1704","7683"
"1705","7684"
"1706","7685"
"1707","7686"
"1708","7687"
"1709","7688"
"1710","7689"
"1711","7690"
"1712","7691"
"1713","7692"
"1714","7693"
"1715","7694"
"1716","7695"
"1717","7696"
"1718","7697"
"1719","7698"
"1720","7699"
"1721","7700"
"1722","7701"
"1723","7702"
"1724","7703"
"1725","7704"
"1726","7705"
"1727","7706"
"1728","7707"
"1729","7708"
"1730","7709"
"1731","7710"
"1732","7711"
"1733","7712"
"1734","7712"
"1735","7713"
"1736","7715"
"1737","7716"
"1738","7717"
"1739","7718"
"1740","7719"
"1741","7720"
"1742","7721"
"1743","7722"
"1744","7723"
"1745","7724"
"1746","7725"
"1747","7726"
"1748","7727"
"1749","7728"
"1750","7729"
"1751","7730"
"1752","7731"
"1753","7732"
"1754","7733"
"1755","7734"
"1756","7735"
"1757","7736"
"1758","7737"
"1759","7738"
"1760","7739"
"1761","7740"
"1762","7741"
"1763","7742"
"1764","7744"
"1765","7745"
"1766","7743"
"1767","7746"
"1768","7747"
"1769","7748"
"1770","7749"
"1771","7750"
"1772","1251"
"1773","1252"
"1774","1253"
"1775","1254"
"1776","1255"
"1777","1256"
"1778","1257"
"1779","1258"
"1780","1259"
"1781","1260"
"1782","1261"
"1783","1262"
"1784","1263"
"1785","1264"
"1786","1265"
"1787","1266"
"1788","1267"
"1789","1268"
"1790","1269"
"1791","1270"
"1792","1271"
"1793","1272"
"1794","1273"
"1795","1274"
"1796","1275"
"1797","1276"
"1798","1277"
"1799","1278"
"1800","1279"
"1801","1280"
"1802","1281"
"1803","1282"
"1804","1283"
"1805","1284"
"1806","1285"
"1807","1286"
"1808","1287"
"1809","1288"
"1810","1289"
"1811","1290"
"1812","1291"
"1813","1292"
"1814","1293"
"1815","1294"
"1816","1295"
"1817","1296"
"1818","1297"
"1819","4298"
"1820","1299"
"1821","1300"
"1822","7751"
"1823","7752"
"1824","7753"
"1825","7754"
"1826","7755"
"1827","7756"
"1828","7757"
"1829","7758"
"1830","7759"
"1831","7760"
"1832","7761"
"1833","7762"
"1834","7662"
"1835","7663"
"1836","7733"
"1837","7734"
"1838","7762"
"1839","7763"
"1840","7764"
"1841","7765"
"1842","7766"
"1843","7767"
"1844","7768"
"1845","7769"
"1846","7770"
"1847","7771"
"1848","7772"
"1849","7773"
"1850","7775"
"1851","7775"
"1852","7776"
"1853","7777"
"1854","7778"
"1855","7779"
"1856","7780"
"1857","7781"
"1858","7782"
"1859","7783"
"1860","7784"
"1861","7785"
"1862","7786"
"1863","7787"
"1864","7788"
"1865","7789"
"1866","7790"
"1867","1401"
"1868","1402"
"1869","1403"
"1870","1404"
"1871","1405"
"1872","1406"
"1873","1407"
"1874","1408"
"1875","1409"
"1876","1410"
"1877","1411"
"1878","1412"
"1879","1413"
"1880","1414"
"1881","1415"
"1882","1416"
"1883","1417"
"1884","1418"
"1885","1419"
"1886","1420"
"1887","1422"
"1888","1423"
"1889","1421"
"1890","1421"
"1891","1422"
"1892","1425"
"1893","1421"
"1894","1426"
"1895","1427"
"1896","1428"
"1897","1429"
"1898","1430"
"1899","1431"
"1900","1432"
"1901","1433"
"1902","1434"
"1903","1435"
"1904","1436"
"1905","1437"
"1906","1438"
"1907","1439"
"1908","1440"
"1909","1441"
"1910","1442"
"1911","1443"
"1912","1444"
"1913","1445"
"1914","1446"
"1915","1447"
"1916","1448"
"1917","1449"
"1918","1450"
"1919","1451"
"1920","1452"
"1921","1453"
"1922","1454"
"1923","1455"
"1924","1456"
"1925","1457"
"1926","1458"
"1927","1459"
"1928","1460"
"1929","1461"
"1930","1462"
"1931","1463"
"1932","1464"
"1933","1465"
"1934","1466"
"1935","1467"
"1936","1468"
"1937","1469"
"1962","1494"
"1963","1495"
"1964","1496"
"1965","1497"
"1966","1495"
"1967","1498"
"1968","1499"
"1969","1500"
"1970","1501"
"1971","1502"
"1972","1503"
"1973","1504"
"1974","1505"
"1975","1506"
"1976","1507"
"1977","1508"
"1978","1509"
"1979","1510"
"1980","1511"
"1981","1512"
"1982","1514"
"1983","1515"
