nbeo,code
1249,628100
7006,659800
7007,668360
7008,668360
7009,624000
7022,604210
7023,632860
7024,618120
7025,668360
7026,661273
7027,618120
7028,632831
7029,604710
7030,618120
7031,618120
7032,624000
7034,605820
7035,604210
1097,624000
1098,624000
1099,624000
1100,624000
1101,624000
1103,604720
1104,661257
1105,628100
1106,659800
1144,624000
1145,604130
1146,668340
1147,624000
148,604130
1149,604210
1150,618120
1151,605200
1152,604130
1222,624000
1223,604710
1224,618120
1225,624000
1227,626530
1228,626530
1229,604130
1230,632831
7014,624000
1211,604710
1212,604720
1213,659800
1214,604710
1215,604710
1216,624000
1217,604720
1218,624000
7015,604210
7016,618120
7017,659800
7018,618120
7019,604210
7021,604210
7036,628100
7037,668360
7040,628100
7041,628100
7042,631000
7043,624000
7044,624000
7045,624000
7171,624000
7173,624000
7174,632540A
7175,659800
7176,618120
7177,618120
7178,659800
7179,604130
7180,668340
7181,659800
1153,624000
1154,604710
1155,624000
1156,632860
1157,604210
1158,624000
1159,624000
1160,624000
1161,624000
7046,604130
7049,604130
7050,628100
7151,604130
7152,618120
70153,659800
7154,604210
7182,632831
7183,632831
7184,632831
7185,632831
7186,668340
7187,668340
7189,668360
7190,668360
7188,663841
7201,668340
7202,668340
7203,668340
7204,668340
7205,668340
7206,668340
7207,668340
7208,668340
7209,668340
7239,604720
7240,624000
7241,624000
7242,659800
7243,624000
7244,624000
7245,624000
7246,624000
7247,604720
7248,624000
7249,604720
9259,624000
7101,624000
7102,624000
7104,624000
7105,624000
7106,604710
7107,624000
7117,624000
7118,624000
7119,604720
7120,604210
7121,624000
7122,624000
7123,624000
7124,605200
7125,624000
7144,604710
7067,632860
1162,604720
1163,632831
1164,659800
1165,624000
1166,624000
1167,661272
1168,618120
1169,604710
1170,618120
7155,618120
7111,604130
7112,604720
7113,624000
7114,624000
7191,668360
7192,668360
7193,604130
7194,659800
7196,668340
7197,668340
7198,668340
7199,668340
7200,668340
7210,668340
7211,668340
7212,624000
7214,604710
7215,632860
7216,604130
7217,605200
7218,604130
7126,624000
7127,668340
7128,668340
7129,632831
7130,668340
7131,632831
7132,632860
7133,668340
7134,604710
7291,663841
7502,632831
1171,618120
1173,632540
1174,663841
1175,604210
1176,604710
1177,663841
1178,618120
1179,618120
1180,604720
7156,624000
7157,618120
7158,618120
7161,604300
7115,659800
7116,624000
7219,624000
7220,624000
7221,624000
7223,624000
7224,659800
7225,624000
7229,624000
7226,626530
7228,624000
7135,624000
7136,638410
7137,604720
7138,659800
7139,604130
7140,605100
7141,624000
7142,668360
7143,604300
7145,604130
7146,628100
7147,604720
7051,604210
7052,668340
7053,624000
7055,626530
7074,618120
7076,632860
7077,624000
7078,618120
7079,604710
7080,661257
7081,618120
7100,659800
7251,632831
7252,624000
7253,604130
7254,604720
7255,624000
7256,632860
